
#$Filter:1
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09	0.02848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:43.2, mW
#$WAVELENGTH:532,nm
#$OBJECT:SiNW23, bscat
angle	ref	signal	signal_std	filter	Time	freq	duty_cycle
281.5	0.166666625	0.444006718659	0.0962962874246	0	1510671135.0655947	58.5142857143	0.514285714286
281.5	0.168749957813	0.455631486184	0.0965876377854	0	1510671135.8314838	58.5142857143	0.514285714286
281.0	0.168749957813	0.492770624052	0.103777684003	0	1510671136.5875351	58.5142857143	0.514285714286
281.0	0.168749957813	0.504159366614	0.151974565914	0	1510671137.057961	58.5142857143	0.514285714286
280.5	0.170833290625	0.587432417421	0.12994607125	0	1510671137.8261993	58.5142857143	0.514285714286
280.0	0.166666625	0.599083011386	0.127347730262	0	1510671138.5927331	58.5142857143	0.514285714286
280.0	0.168749957813	0.613606796782	0.134973155316	0	1510671139.0610797	58.5142857143	0.514285714286
279.5	0.168749957813	0.657617202446	0.138142046945	0	1510671139.830556	58.5142857143	0.514285714286
279.0	0.170833290625	0.627713903782	0.154430275869	0	1510671140.5987773	56.8888888889	0.522222222222
279.0	0.170833290625	0.60158490924	0.189837659644	0	1510671141.0657759	56.5745856354	0.513813813814
278.5	0.168749957813	0.628568196852	0.160252537216	0	1510671141.8237302	56.8888888889	0.527777777778
278.0	0.170833290625	0.643847211063	0.16465156235	0	1510671142.5876193	57.5280898876	0.550476190476
278.0	0.168749957813	0.559815387112	0.218526658795	0	1510671143.067458	57.8531073446	0.547936507937
277.5	0.17499995625	0.476645575069	0.261692502251	0	1510671143.8405256	57.2867132867	0.545436507937
277.0	0.168749957813	0.654711721076	0.150677657367	0	1510671144.6073654	57.2067039106	0.513968253968
277.0	0.170833290625	0.65077947648	0.168990569822	0	1510671145.060201	57.2067039106	0.519523809524
276.5	0.170833290625	0.663660343821	0.163080460232	0	1510671145.8311133	57.2067039106	0.519523809524
276.0	0.170833290625	0.694278740895	0.152454051787	0	1510671146.5929415	57.5280898876	0.539365079365
276.0	0.168749957813	0.424029447843	0.315001729921	0	1510671147.06296	57.8531073446	0.536825396825
275.5	0.168749957813	0.686866079564	0.153568510705	0	1510671147.8237753	57.5280898876	0.544920634921
275.0	0.168749957813	0.64814656161	0.162183090739	0	1510671148.5866506	57.5280898876	0.550476190476
275.0	0.170833290625	0.496254861691	0.253594839775	0	1510671149.0595255	58.1818181818	0.551111111111
274.5	0.168749957813	0.705791846344	0.179265210516	0	1510671149.8266046	57.8531073446	0.553650793651

#$Filter:1
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09	0.02848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:43.2, mW
#$WAVELENGTH:532,nm
#$OBJECT:SiNW23, bscat
angle	ref	signal	signal_std	filter	Time	freq	duty_cycle
274.0	0.168749957813	0.645124178695	0.237418693926	0	1510671349.6857188	59.1907514451	0.549243697479
273.5	0.172916623438	0.0643354287601	0.363833410061	0	1510671350.17995	58.5142857143	0.542857142857
273.5	0.166666625	0.709115123456	0.154255574945	0	1510671350.9469683	58.5142857143	0.514285714286
273.0	0.168749957813	0.697771875958	0.165331182519	0	1510671351.7109733	58.0992907801	0.517658730159
272.5	0.170833290625	0.561853480978	0.275504096906	0	1510671352.1824238	58.1818181818	0.516984126984
272.5	0.168749957813	0.684620897486	0.154080208107	0	1510671352.946487	58.1818181818	0.516984126984
272.0	0.168749957813	0.722158910369	0.15575871592	0	1510671353.7041507	58.5142857143	0.514285714286
271.5	0.168749957813	0.688117510477	0.179168974681	0	1510671354.186564	58.8505747126	0.511596638655
271.5	0.168749957813	0.746898720379	0.17503473233	0	1510671354.9652965	58.8505747126	0.51731092437
271.0	0.166666625	0.741764985683	0.170361351966	0	1510671355.725922	58.5142857143	0.52
271.0	0.172916623438	0.61863744557	0.272064432424	0	1510671356.1872556	58.5142857143	0.542857142857
270.5	0.172916623438	0.721616409221	0.161805458167	0	1510671356.9551892	58.9352517986	0.539495798319
270.0	0.172916623438	0.759873807741	0.196629341535	0	1510671357.7113945	58.9352517986	0.561134453782
269.5	0.168749957813	0.725226663412	0.201683786652	0	1510671358.1819293	58.8505747126	0.557478991597
269.5	0.168749957813	0.742021182016	0.191916934036	0	1510671358.9506812	58.8505747126	0.551764705882
269.0	0.168749957813	0.734043976033	0.190936767032	0	1510671359.717722	58.8505747126	0.551764705882
269.0	0.168749957813	0.330032133987	0.388260003475	0	1510671360.185473	58.9352517986	0.546848739496
268.5	0.168749957813	0.806645086447	0.171551302209	0	1510671360.9554856	58.5142857143	0.514285714286
268.0	0.168749957813	0.792725352783	0.189652143157	0	1510671361.7221732	58.5142857143	0.542857142857
268.0	0.170833290625	0.807092027336	0.22084629097	0	1510671362.1882017	58.9352517986	0.553991596639
267.5	0.172916623438	0.804621647584	0.198700159438	0	1510671362.9559517	58.9352517986	0.553991596639
267.0	0.172916623438	0.80035330509	0.199852023977	0	1510671363.7269905	59.1907514451	0.549243697479
267.0	0.172916623438	0.824584192831	0.208316456378	0	1510671364.1818755	58.8505747126	0.551764705882
266.5	0.172916623438	0.786429375221	0.175097881174	0	1510671364.9508128	58.9352517986	0.539495798319
266.0	0.168749957813	0.782233868243	0.146486476142	0	1510671365.7178264	58.5142857143	0.502857142857
266.0	0.168749957813	0.769541101233	0.233150843201	0	1510671366.183541	58.1818181818	0.516984126984
