
#$Filter:1
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09	0.02848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:43.3, mW
#$WAVELENGTH:532,nm
#$OBJECT:SiNW21, bscat
angle	ref	signal	signal_std	filter	Time	freq	duty_cycle

#$Filter:1
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09	0.02848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:43.3, mW
#$WAVELENGTH:532,nm
#$OBJECT:SiNW21, bscat
angle	ref	signal	signal_std	filter	Time	freq	duty_cycle
281.0	0.172916623438	0.25589856948	0.064068141798	0	1510670310.6557972	55.0537634409	0.548364153627
281.0	0.17499995625	0.250762672995	0.0619076642596	0	1510670311.4215238	55.0537634409	0.548364153627
281.0	0.17499995625	0.268854548835	0.0654091327977	0	1510670312.187715	54.9798657718	0.543563300142
280.5	0.172916623438	0.271474194082	0.0799726634947	0	1510670312.6597328	54.9798657718	0.543563300142
280.5	0.17499995625	0.290398978306	0.0864358982281	0	1510670313.4626713	54.7593582888	0.545376955903
280.0	0.172916623438	0.320418024583	0.0947505394066	0	1510670314.248423	54.7593582888	0.545376955903
280.0	0.172916623438	0.354962342953	0.0916502799627	0	1510670314.7144396	54.4680851064	0.54253200569
279.0	0.354166578125	0.40952109645	0.349804267685	0	1510670315.479312	nan	nan
279.0	0.172916623438	0.173407348078	0.0438097626313	0	1510670316.328031	54.4680851064	0.54253200569
278.5	0.177083289063	0.364624144847	0.0866291616481	0	1510670317.2250476	54.6133333333	0.546586059744
278.0	0.354166578125	0.16868031761	0.32537347755	0	1510670317.655063	nan	nan
278.0	0.17499995625	0.365489319785	0.0784147044518	0	1510670318.4167864	54.7593582888	0.540113798009

#$Filter:1
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09	0.02848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:43.3, mW
#$WAVELENGTH:532,nm
#$OBJECT:SiNW21, bscat
angle	ref	signal	signal_std	filter	Time	freq	duty_cycle
277.5	0.172916623438	0.375963380269	0.0860828438599	0	1510670322.1512406	54.7593582888	0.540113798009
277.0	0.172916623438	0.368088058683	0.0974327001536	0	1510670322.582711	54.9798657718	0.543563300142
