
#$Filter:op09
#$	0	1	 1
#$	1	op06	 0.251188643150958
#$	2	op09	op09
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:61.2, mW
#$WAVELENGTH:532,nm
#$OBJECT:635, on wires	=	=	=	=
angle	ref	signal	signal_std	filter	Time
0.0	0.1625	0.000594463544369	0.000861777284039	2	1510218657.2746334
0.0	0.1609375	0.000544277173913	0.000849284505014	2	1510218657.7785823
0.0	0.1625	0.000283375301309	0.000821446130958	2	1510218658.5224493
0.0	0.1609375	0.000243259167964	0.000780660144006	2	1510218658.9173722
0.5	0.1625	0.000471787969209	0.000855216814115	2	1510218659.6508687
0.5	0.1625	0.000414785504238	0.000965591283175	2	1510218660.043205
1.0	0.1625	0.000425	0.000811644286229	2	1510218660.7791162
1.0	0.1609375	0.000333317225086	0.000899823253213	2	1510218661.5240657

#$Filter:op09
#$	0	1	 1
#$	1	op06	 0.251188643150958
#$	2	op09	op09
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:61.2, mW
#$WAVELENGTH:532,nm
#$OBJECT:635, on wires	=	=	=	=
angle	ref	signal	signal_std	filter	Time
1.5	0.1625	0.000220855205599	0.0007965734875	2	1510218672.7084148
2.0	0.15625	0.000495127688172	0.000959042345061	2	1510218673.4602041
2.0	0.15625	0.000279571190309	0.000899315750249	2	1510218673.8473005
2.5	0.1609375	0.000371146214896	0.000819379357992	2	1510218674.5810149
2.5	0.1625	0.000438048913043	0.000978493660029	2	1510218674.9709384
2.5	0.1625	0.000350645231846	0.00081232073046	2	1510218675.7079606
3.0	0.1625	0.000435296369204	0.000803033948458	2	1510218676.447927
3.0	0.1625	0.00121570975503	0.00108694221718	2	1510218676.8427908
3.5	0.1609375	0.00155491873679	0.00135093050002	2	1510218677.591382
3.5	0.1609375	0.00279414420366	0.00216404140519	2	1510218677.9875498
4.0	0.1609375	0.00294248369565	0.00149597805627	2	1510218678.7274382
4.5	0.159375	0.00354565217391	0.00184381257704	2	1510218679.4844134
4.5	0.1625	0.00248766304348	0.00212008555138	2	1510218679.8721976
4.5	0.159375	0.00281955645161	0.00216510856755	2	1510218680.6122067
5.0	0.159375	0.00394522849462	0.00187787842226	2	1510218681.0010486
5.0	0.1609375	0.00422461956522	0.00216267176796	2	1510218681.754607
5.5	0.1609375	0.0110363096811	8.61192668254e-05	2	1510218682.511647
5.5	0.1625	0.0105627578564	0.00149539940657	2	1510218682.9016068
6.0	0.1625	0.0104685114504	0.0	2	1510218683.6638083
6.0	0.1625	0.0104685114504	0.0	2	1510218684.0695486

#$Filter:op09
#$	0	1	 1
#$	1	op06	 0.251188643150958
#$	2	op09	op09
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:61.2, mW
#$WAVELENGTH:532,nm
#$OBJECT:635, on wires	=	=	=	=
angle	ref	signal	signal_std	filter	Time
6.5	0.1578125	0.0533578749351	0.0103338843163	2	1510218698.2194421
7.0	0.15625	0.0511734637489	0.00918699103447	2	1510218698.7234786
7.0	0.1609375	0.0370558608059	0.0203002320644	2	1510218699.4643662
7.5	0.1609375	0.054816468254	0.00818504410601	2	1510218699.9121535
7.5	0.2734375	0.112074593186	0.0150911152409	2	1510218700.7873
8.0	0.2765625	0.0761334382151	0.0399569730335	2	1510218701.179091
8.0	0.1546875	0.0201436589273	0.0314716546504	2	1510218701.9731166
8.5	0.15625	0.0496668956044	0.00896155677935	2	1510218702.8297136
9.0	0.15625	0.022234106171	0.00446583940536	2	1510218703.7246702

#$Filter:op09
#$	0	1	 1
#$	1	op06	 0.251188643150958
#$	2	op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:61.2, mW
#$WAVELENGTH:532,nm
#$OBJECT:635, on wires	=	=	=	=
angle	ref	signal	signal_std	filter	Time
360.0	0.15625	0.000209624655647	0.000703279304056	2	1510218797.4263666
360.0	0.15625	0.000479989884642	0.000807249400355	2	1510218797.8219109
360.0	0.1609375	0.000367722088836	0.000820273065458	2	1510218798.6120846
0.0	0.1546875	0.000129351740696	0.000805367283847	2	1510218799.4283638
0.0	0.1609375	0.000273831521739	0.000913300977455	2	1510218800.4351544
0.5	0.15625	0.000435174069628	0.000852331957163	2	1510218801.4317884
1.0	0.1625	0.000254411130285	0.000731034443334	2	1510218802.4278166
1.0	0.1625	0.000382939565143	0.000812746944727	2	1510218803.4246368
1.5	0.1609375	0.000567226442472	0.00106754358182	2	1510218804.4212284
1.5	0.1609375	0.00036598226584	0.000834630338323	2	1510218805.4372056
2.0	0.1609375	0.000409873813632	0.000848996270657	2	1510218806.4322915
2.0	0.1609375	0.00029853219697	0.000793237032134	2	1510218807.4240654
2.5	0.1625	0.000315726290516	0.000815476079639	2	1510218808.438
3.0	0.1625	0.000879494093477	0.00102566567222	2	1510218809.4547577
3.0	0.1609375	0.00191846005155	0.001215348982	2	1510218809.844496
3.0	0.15625	0.00310307692308	0.00169717780447	2	1510218810.7784238
3.5	0.1609375	0.00246567376951	0.00167957246859	2	1510218811.5571063
3.5	0.1625	0.00297261404562	0.00164510310018	2	1510218812.4360807
4.0	0.1546875	0.00403014040628	0.000865180009381	2	1510218813.4323142
4.5	0.15625	0.00385455128205	0.00205800115403	2	1510218814.488812
4.5	0.1625	0.00348248397436	0.00194463715687	2	1510218815.561757
