
#$Filter:1
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.0, mW
#$WAVELENGTH:1064,nm
#$OBJECT:cSi_ang, bscat	=	=	=	=	=
angle	ref	signal	signal_std	filter	Time	freq	duty_cycle
0.0	0.096875	0.000265803122112	0.00226388045657	0	1512220187.284469	54.2516556291	0.443812233286
0.0	0.0953125	0.000125341635726	0.00170852604428	0	1512220188.0321918	54.9798657718	0.434555685717
360.0	0.096875	0.000154261363636	0.00204146109889	0	1512220188.7868505	54.7593582888	0.442413609782
360.0	0.0953125	9.02591099164e-05	0.00146362728966	0	1512220189.2807953	53.5424836601	0.444331983806
359.5	0.0953125	9.02591099164e-05	0.00146362728966	0	1512220190.0339758	53.5424836601	0.444331983806
359.0	0.096875	0.00025427827381	0.00116270646571	0	1512220190.7896152	56.2637362637	0.421164316627
358.5	0.0984375	0.000152430044183	0.00153948181272	0	1512220191.281526	53.5424836601	0.457489878543
358.0	0.0953125	0.000296384803922	0.0023266690078	0	1512220192.0392327	53.5424836601	0.457644891855
358.0	0.0953125	0.000296384803922	0.0023266690078	0	1512220192.793485	53.5424836601	0.457644891855
357.5	0.0953125	0.000100086041097	0.00121092342125	0	1512220193.2822614	53.5424836601	0.450910931174
357.0	0.0953125	3.28947368421e-06	0.00194364197155	0	1512220194.0439599	55.652173913	0.423562753036
356.5	0.0953125	0.000706610275689	0.0014026201614	0	1512220194.81121	55.652173913	0.423562753036
356.5	0.0953125	0.000902465220949	0.00188297590606	0	1512220195.2832024	56.5745856354	0.409769879244
356.0	0.0953125	0.000902465220949	0.00188297590606	0	1512220196.0348423	56.5745856354	0.409769879244
355.5	0.0953125	0.000745028409091	0.00246805510133	0	1512220196.7939694	58.8505747126	0.391537801538
355.0	0.0953125	0.000913594470046	0.00147526835187	0	1512220197.2784564	56.2637362637	0.410438900439
354.5	0.0953125	0.000913594470046	0.00147526835187	0	1512220198.033406	56.2637362637	0.410438900439
354.0	0.096875	0.000692640139116	0.00134195315819	0	1512220198.788653	56.8888888889	0.412337017821
354.0	0.0953125	0.000633878551421	0.00156156260928	0	1512220199.281399	55.3513513514	0.433342039963
353.5	0.0953125	0.000633878551421	0.00156156260928	0	1512220200.0392702	55.3513513514	0.433342039963
